ccaa,year,amount_eur,spend_type,program_code,program_name,plan_name,coverage,source_name,source_ref,notes,confidence
Región de Murcia,2025.0,3600000.0,presupuestado,,,Medios aéreos INFOMUR (aerial means contract, annualized),partial,"Totana Noticias (2025-09-19) / CARM","https://www.totananoticias.com/72-millones-para-mantener-los-medios-aereos-del-plan-infomur-los-proximos-dos-anos","7.2M€ for 2 years (2025-11-01 to 2027-10-31): 1 coordination/surveillance aircraft + 3 firefighting helicopters (1,200L buckets) + 1 helitransported brigade (BRIHELI). Annualized: ~3.6M€/year.",low
Cantabria,2026.0,26300000.0,presupuestado,,,(cross-government total wildfire investment),total,"Gobierno de Cantabria (2026-01-13) / Europa Press / elDiario Cantabria","https://www.cantabria.es/web/comunicados/w/el-gobierno-invertir%C3%A1-este-a%C3%B1o-26-3-millones-de-euros-en-la-lucha-contra-los-incendios-forestales","Total cross-government wildfire investment (President Buruaga announcement). Includes 1.3M€ for new Ramales forest station, all forest firefighting ops, prevention, equipment. SUBSUMES the narrower Plan Anual de Incendios Forestales (>7M€ in 2026, see sibling row). The 8.4M€ 2025 Plan Anual figure was the previous year's equivalent. NOT conflicting — different scope levels. Helicopter contract (Maya Dama/Delta Romeo): 3.5M€ total within broader 31.5M€ Protección Civil budget. NOTE: second helicopter tender (1M€/3yr) went DESIERTA June 2026 — Cantabria still lacks a year-round dedicated firefighting helicopter (Delta Romeo lacks water bombing cert).",low
Cantabria,2026.0,7000000.0,presupuestado,,,Plan Anual de Incendios Forestales (Rural Development ministry — narrower scope),partial,"Gobierno de Cantabria / BOC (Dec 2025)","https://www.cantabria.es/web/comunicados/w/el-plan-de-incendios-forestales-de-cantabria-para-2026-refuerza-su-estrategia-para-reducir-los-da%C3%B1os-ocasionados-por-los-fuegos-y-potenciar-la-prevenci%C3%B3n","Narrower than the 26.3M€ cross-government total (which see). The statutory annual plan under Consejería de Desarrollo Rural. Includes prevention, surveillance, extinction operations, restoration. 2025 version was 8.4M€ (decrease reflects items moved to other budgets). 2026 danger periods: Feb 1-Apr 30 + Aug 1-Oct 15 (Liébana, Campoo, Los Valles).",low
Comunidad Foral de Navarra,2025.0,42700000.0,presupuestado,,,(firefighting budget),total,Regional press coverage (2025),,"Explicitly caveated in the source as including firefighters/emergency services generally, not wildfire-specific — likely overstates wildfire-only spend",low
La Rioja,2026.0,20000000.0,presupuestado,,,(regional wildfire plan),total,El Debate (2026-07-27),https://www.eldebate.com/espana/20260727/asi-invierten-comunidades-lucha-contra-incendios-madrid-entre-presupuesto-proporcional-destina_443841.html,"Sub-figures found elsewhere (5.03M vigilancia/extinción + 4.20M prevención for 2026 = ~9.2M) sum to less than half this aggregate figure — discrepancy unresolved, likely different scope/program boundaries",low
Cataluña,2026.0,387000000.0,presupuestado,223,"Prevenció, extinció d'incendis i salvaments",Bombers de la Generalitat (general fire/rescue corps — not wildfire-specific),partial,"Regió7 / La Ciutat (2026-02-27) / El Periódico / Empordà (2026-05-05) / La Vanguardia (2026-07-16)","https://www.regio7.cat/societat/2026/02/27/presupuestos-generalitat-2026-interior-mossos-bomberos-127360273.html","2026 proposed Interior budget program for prevention+extinction+salvage (Bombers de la Generalitat — urban + wildfire combined). Same scope as existing 2020/2021 rows (program 223). 2025 actual: 367M€. 2026 proposed: 387M€ (+5.4%), later increased to 392M€ but not passed (budget withdrawn 19 Mar 2026, ultimately approved 2 Jul 2026). Does NOT include the new 36.8M€ forest strategy or 15M€ firebreak strips — see sibling rows.",low
Cataluña,2026.0,36800000.0,presupuestado,,,Nova Estratègia Antiincendis (new forest strategy — prevention),partial,"La Vanguardia (2026-05-11) / Europa Press (2026-05-12) / La Razón (2026-05-17) / 20 Minutos (2026-05-11)","https://www.lavanguardia.com/local/catalunya/20260511/11535632/nueva-estrategia-antiincendios-catalunya-define-14-ejes-confinamiento.html","ADDITIONAL to the 387M€ Bombers budget. New 14-axis strategy: includes 15M€/year for firebreak strips (franjas de protección, 10x previous), professionalization of forestry sector, extensive livestock promotion. 4M€ for 5 new containment axes (eixos de confinament), 6.9M€ for pasture recovery. Total strategy cost: 131.8M€ by 2033 for all 14 containment axes.",low
Cataluña,2026.0,15000000.0,presupuestado,,,Franjas de protección (municipal firebreak strips — prevention only),partial,Crónica Global (2026-07-17),https://www.cronicaglobal.cat/vida/20260717/catalunya-destinara-milions-lustre-franges-proteccio-incendis/1003742780540_0.html,Subset of the 36.8M€ strategy. 15M€/year × 5 years = 75M€ total. Announced by conseller Ordeig as 'la major inversió de la història en prevenció d'incendis'. Aid to municipalities for 25m-wide perimeter firebreaks around urbanizations.,low
Cataluña,2025.0,367000000.0,liquidado,223,"Prevenció, extinció d'incendis i salvaments",Bombers de la Generalitat (general fire/rescue corps — not wildfire-specific),partial,El Periódico / Empordà (2026-05-05),https://www.emporda.info/catalunya/2026/05/05/catalunya-nova-estrategia-prevencio-incendis-forestals-129835742.html,2025 actual executed spend for program 223. Same scope caveat as 387M€ row (urban+wildfire combined). Source notes Cataluña 'encara no separa de manera clara la despesa destinada a prevenció i la dedicada a extinció' (still does not clearly separate prevention vs extinction). Academic estimate (The Conversation 2026-07-27): 327M€ wildfire-specific for Catalonia in 2025 — the 367M€ is an upper bound including urban fire,low
Cataluña,2025.0,18000000.0,presupuestado,,,Pla de Prevenció d'Incendis Forestals 2022-2025 (historical prevention plan),partial,"Govern.cat press release (consellera Jordà, 2022) / Crónica Global (2026) — superseded","https://govern.cat/salapremsa/notes-premsa/417451/consellera-jorda-anuncia-inversio-historica-72-milions-deuros-nou-pla-prevencio-dincendis-forestals-2022-2025","NOW SUPERSEDED (was the 2022-2025 prevention plan: 72M€ over 4 years = 18M€/year). Replaced in 2026 by the larger 36.8M€/year forest strategy (including 15M€ firebreak strips). The Crónica Global article that originally sourced this row was actually reporting the NEW 15M€/year firebreak program — the 18M€ was mistakenly conflated. Kept for historical reference only.",low
Islas Baleares,2025.0,6500000.0,presupuestado,,,(IBANAT brigades + FOGAIBA prevention aid),partial,ecoticias.com + palmesana.com coverage,https://www.ecoticias.com/medio-ambiente/prevencion-de-incendios-forestales-en-baleares-2025,"Prevention-only sum of two partial figures (3M IBANAT + 3.5M FOGAIBA aid to private owners). No consolidated wildfire total exists — money split across DGMNGF (>60M€, full natural-environment budget) and IBANAT (~23M€, full budget incl. extinction ops + nature conservation). Fire-specific sub-lines: Gestió Forestal ~9M€, Sanitat Forestal 4.3M€, Espais Naturals Protegits >15M€ (Balears Vadevi 2025-06-08, conseller Simonet Parliament testimony). See SOURCES_INDEX.md for full breakdown.",low
Islas Baleares,2025.0,23000000.0,presupuestado,,,IBANAT (full agency budget — extinction ops + prevention + nature conservation),partial,"Balears Vadevi (2025-06-08) / conseller Simonet Parliament testimony","","IBANAT's total budget (~23M€). INCLUDES wildfire extinction ops but also nature conservation, environmental education, species protection — NOT a wildfire-specific figure, but the closest available proxy for IBANAT's fire role (its brigades form the core of Baleares' extinction response). Fire-specific portion is a subset of this total (Gestió Forestal ~9M€). No consolidated regional wildfire total exists — see sibling row.",low
Canarias,2026,11600000,presupuestado,,,EIRIF (regional extinction brigade + prevention),partial,"RTS Fuerteventura / Plan Forestal de Canarias (2026-07-28) / various","","EIRIF (Equipo de Intervención y Refuerzo en Incendios Forestales) — Gobierno de Canarias' own regional wildfire force. €11.6M/year annual budget (€39M over 3 years incl. €15M modernization). Closest available figure to a 'regional wildfire budget' for Canarias. However, this EXCLUDES island-level spending (cabildos insulares) where most wildfire competencies actually sit. Island-level budgets found this pass: Tenerife €26.5M (Gestión Forestal, prevention+extinction), Gran Canaria ~€5M Céntimo Verde + UOFF (undisclosed), Fuerteventura €1.28M (fire service, exempt from INFOCA per Decree 180/2025), La Palma €620K, La Gomera €2.5M, Lanzarote €9.01M (Consorcio emergencies). See SOURCES_INDEX.md and operational_resources.csv for full breakdown.",unverified
Galicia,2023,14902387,presupuestado,,"Prevención de danos causados por incendios, desastres naturais e catástrofes",Plan PLADIGA (partial — capital investment sub-program only),partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia 2023, Consellería do Medio Rural (investimentos reais)",,"One of 4 wildfire-related capital-investment lines found on p.103 of the 2023 Memoria (recovered from this session's own earlier research cache, not yet re-fetched from a live URL — source_ref pending). Excludes PLADIGA's running/personnel costs (those sit elsewhere in the budget, not captured here), so this materially undercounts the full PLADIGA presupuestado for 2023 — treat as a floor, not the total.",low
Galicia,2023,11126000,presupuestado,,Mellora do operativo de prevención e defensa contra incendios forestais e creación do centro integral para a loita contra o lume,Plan PLADIGA (partial — capital investment sub-program only),partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia 2023, Consellería do Medio Rural (investimentos reais)",,"Second of 4 wildfire-related capital-investment lines, same caveats as the sibling row for this year (see 'Prevención de danos...' row).",low
Galicia,2023,7751651,presupuestado,,"Silvicultura de prevención de incendios e outras catástrofes: desbroces, rareos, podas, eliminación de plantas invasoras",Plan PLADIGA (partial — capital investment sub-program only),partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia 2023, Consellería do Medio Rural (investimentos reais)",,"Third of 4 wildfire-related capital-investment lines, same caveats as the sibling row for this year.",low
Galicia,2023,2846168,presupuestado,,Recuperación integral do territorio afectado polos grandes incendios forestais do ano 2022,Plan PLADIGA (partial — capital investment sub-program only),partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia 2023, Consellería do Medio Rural (investimentos reais)",,"Fourth of 4 wildfire-related capital-investment lines — this one is post-2022-fire recovery spending specifically, not routine prevention/extinction. Same sourcing caveats as sibling rows.",low
País Vasco,2023,0,presupuestado,2022/0121,Medidas contra incendios forestales,Diputación Foral de Bizkaia only (one of 3 diputaciones forales — see existing 2025 row for the other two),partial,"Diputación Foral de Bizkaia, open-data budget-execution extract (gastos 2023)",,"Crédito inicial = 0 for this specific wildfire project — it was not in the originally-approved 2023 budget at all, only added via later credit modification (see the liquidado row for the same project/year: obligación reconocida ~1.34M, funded entirely through in-year credits). A concrete real example of the presupuestado-vs-liquidado gap this dataset exists to capture. Recovered from this session's own earlier research cache; source_ref (the open-data portal URL) pending re-verification.",low
País Vasco,2023,1340946,liquidado,2022/0121,Medidas contra incendios forestales,Diputación Foral de Bizkaia only (one of 3 diputaciones forales — see existing 2025 row for the other two),partial,"Diputación Foral de Bizkaia, open-data budget-execution extract (gastos 2023)",,"Obligación reconocida (executed) for the same wildfire-specific project as the paired presupuestado=0 row this year — see that row's note. This is Bizkaia only, not all 3 diputaciones, so not comparable in scope to the existing País Vasco 2025 row (100.2M, sum of all 3, itself broader than wildfire-only).",low
Cataluña,2021,237476600,presupuestado,223,"Prevenció, extinció d'incendis i salvaments",Bombers de la Generalitat (general fire/rescue corps — not wildfire-specific),partial,"Compte General de la Generalitat de Catalunya, exercici 2021 (crèdits inicials)",,"Program 223 is Cataluña's general firefighting/rescue corps (urban structural fires + wildfire response together, since the same Bombers corps handles both in Catalonia) — materially broader scope than the wildfire-only rows elsewhere in this dataset; treat as a ceiling, not a wildfire-specific figure. Recovered from this session's own earlier research cache (a grep extract of the official document); source_ref (direct URL) not yet re-verified.",low
Cataluña,2021,253099400,liquidado,223,"Prevenció, extinció d'incendis i salvaments",Bombers de la Generalitat (general fire/rescue corps — not wildfire-specific),partial,"Compte General de la Generalitat de Catalunya, exercici 2021 (obligacions reconegudes)",,"Same program/scope caveat as the paired presupuestado row for 2021 (crèdits inicials 237.48M vs. this liquidado figure 253.10M — executed ran ~6.6% above the initial credit, within crèdits definitius of 257.61M after in-year modification).",low
Cataluña,2020,212870700,liquidado,223,"Prevenció, extinció d'incendis i salvaments",Bombers de la Generalitat (general fire/rescue corps — not wildfire-specific),partial,"Compte General de la Generalitat de Catalunya, exercici 2021 (obligacions reconegudes 2020, shown as year-over-year comparison)",,"2020 executed figure, sourced from the 2021 Compte General's own YoY comparison table (obligacions reconegudes 2021 vs. 2020, +18.9%) rather than the 2020 document directly — no 2020 crèdits inicials (presupuestado) found this pass. Same broader-than-wildfire scope caveat as the 2021 rows.",low
Extremadura,2024,10120000,presupuestado,,Protección y defensa contra incendios,"Plan INFOEX (partial — this one program line, wildfire-specific)",partial,"elDiario.es Extremadura, ""El Gobierno del PP en Extremadura ejecutó en 2024 solo el 41% de inversiones contra incendios previstas"" (citing the region's own 2024 ejecución presupuestaria)",https://www.eldiario.es/extremadura/politica/gobierno-pp-extremadura-ejecuto-2024-41-inversiones-incendios-previstas-primeros-presupuestos_1_12574651.html,"No matching liquidado figure found for this specific narrow line — only the broader ""Total Investment Programs"" aggregate (see sibling row) has a disclosed execution rate.",low
Extremadura,2024,72370000,presupuestado,,"Total Investment Programs (Protección y defensa contra incendios + Conservación, protección e mejora de montes)","Plan INFOEX (partial — investment programs aggregate only, excludes running/personnel costs)",partial,"elDiario.es Extremadura, citing the region's own 2024 ejecución presupuestaria",https://www.eldiario.es/extremadura/politica/gobierno-pp-extremadura-ejecuto-2024-41-inversiones-incendios-previstas-primeros-presupuestos_1_12574651.html,"Broader aggregate than the ""Protección y defensa contra incendios"" row (10.12M) — this sums that line with ""Conservación, protección e mejora de montes"" (62.37M budgeted). Paired liquidado row below is this same aggregate's execution.",low
Extremadura,2024,29500000,liquidado,,"Total Investment Programs (Protección y defensa contra incendios + Conservación, protección e mejora de montes)","Plan INFOEX (partial — investment programs aggregate only, excludes running/personnel costs)",partial,"elDiario.es Extremadura, citing the region's own 2024 ejecución presupuestaria (obligaciones reconocidas)",https://www.eldiario.es/extremadura/politica/gobierno-pp-extremadura-ejecuto-2024-41-inversiones-incendios-previstas-primeros-presupuestos_1_12574651.html,"40.79% of the paired 72.37M presupuestado row — the headline finding of the source article. A narrower payments-only figure (~21.3M, under 30%) was also disclosed but not added as a separate row since ""obligaciones reconocidas"" (this figure) is the standard liquidado definition used elsewhere in this dataset.",low
Extremadura,2024,1120000,presupuestado,,Lucha contra incendios forestales (proyecto),Plan INFOEX (partial — one specific project line),partial,"elDiario.es Extremadura, citing the region's own 2024 ejecución presupuestaria",https://www.eldiario.es/extremadura/politica/gobierno-pp-extremadura-ejecuto-2024-41-inversiones-incendios-previstas-primeros-presupuestos_1_12574651.html,One of the most severely underexecuted lines disclosed in the source article.,low
Extremadura,2024,100000,liquidado,,Lucha contra incendios forestales (proyecto),Plan INFOEX (partial — one specific project line),partial,"elDiario.es Extremadura, citing the region's own 2024 ejecución presupuestaria",https://www.eldiario.es/extremadura/politica/gobierno-pp-extremadura-ejecuto-2024-41-inversiones-incendios-previstas-primeros-presupuestos_1_12574651.html,"Only 9% executed — the most extreme under-execution example found this pass, paired with the 1.12M presupuestado row.",low
Castilla y León,2025,104300000,presupuestado,,Programas de Prevención y Extinción de incendios,,total,"theobjective.com (2025-08-14), citing the Junta de Castilla y León's own informe de ejecución presupuestaria submitted to parliamentary groups",https://theobjective.com/espana/politica/2025-08-14/castilla-leon-presupuesto-prevencion-incendios/,"Total 2025 budget for this program, per the region's own mid-year execution report (not a press aggregator's independent figure).",low
Castilla y León,2025,50600000,liquidado,,Programas de Prevención y Extinción de incendios,,total,"theobjective.com (2025-08-14), citing the Junta de Castilla y León's own informe de ejecución presupuestaria submitted to parliamentary groups",https://theobjective.com/espana/politica/2025-08-14/castilla-leon-presupuesto-prevencion-incendios/,"48.5% executed as of 1 June 2025 — an INTERIM mid-year figure, not the final year-end liquidación (the 2025 fire season, which burned over 13,500ha in this region, happened after this snapshot, so year-end execution will differ, likely upward via extraordinary credits). Do not treat as the final 2025 liquidado figure.",low
Galicia,2019,6330000,presupuestado,,"Prevención de danos causados por incendios, desastres naturais e catástrofes","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2019,3282000,presupuestado,,"Silvicultura de prevención incendios e outras catástrofes: desbroces, rareos, podas, eliminación plantas","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2019,2537500,presupuestado,,Medidas de modernización da flota de vehículos motobomba contra os incendios forestais,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2020,10781360,presupuestado,,"Prevención de danos causados por incendios, desastres naturais e catástrofes","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2020,7226567,presupuestado,,Recuperación do potencial forestal danado por incendios e outras catástrofes,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2020,4593855,presupuestado,,"Silvicultura de prevención de incendios e outras catástrofes: desbroces, rareos, podas, eliminación de plantas invasoras","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2020,3112980,presupuestado,,"Vixiancia, prevención e extinción de incendios forestais","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2021,11407548,presupuestado,,"Prevención de danos causados por incendios, desastres naturais e catástrofes","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2021,4673438,presupuestado,,Recuperación do potencial forestal danado por incendios e outras catástrofes,"Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
Galicia,2021,4376330,presupuestado,,"Vixiancia, prevención e extinción de incendios forestais","Plan PLADIGA (partial — one program/investment line, excludes running/personnel costs)",partial,"Memoria do proxecto de Lei de Orzamentos da Xunta de Galicia (Consellería do Medio Rural, investimentos/gastos)",,"Recovered from this session's own earlier research cache (Memoria PDF for this budget year), not yet re-fetched from a live URL — source_ref pending. Partial slice of PLADIGA (this investment/program line only), same caveat as the 2023 rows already in this file.",low
