row_id,series,metric,year,value,unit,sex,age_group,nationality,country_of_origin,region,source_name,source_publication,source_table,source_url,confidence,notes
25,flow_immigration_from_abroad,count,2024,1288562,persons,all,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,+3.0% vs 2023; matches Eurostat 1288600 (rounded)
26,flow_immigration_from_abroad,count,2023,1098028,persons,all,all,foreign,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,press release EMCR2023,https://www.ine.es/dyngs/Prensa/es/EMCR2023.htm,high,Foreign-nationality share of 2023 inflow = 87.8%
27,flow_immigration_from_abroad,count,2023,152963,persons,all,all,spanish,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,press release EMCR2023,https://www.ine.es/dyngs/Prensa/es/EMCR2023.htm,high,Spanish-nationality share of 2023 inflow = 12.2%
28,flow_immigration_from_abroad,count,2024,1144227,persons,all,all,foreign,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,Foreign-nationality share of 2024 inflow = 88.8%
29,flow_immigration_from_abroad,count,2024,144335,persons,all,all,spanish,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,Spanish-nationality share of 2024 inflow = 11.2%
30,flow_immigration_from_abroad,count,2023,170722,persons,all,all,CO,CO,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,press release EMCR2023,https://www.ine.es/dyngs/Prensa/es/EMCR2023.htm,high,Top-1 nationality of foreign immigrants 2023: Colombian
31,flow_immigration_from_abroad,count,2023,123468,persons,all,all,MA,MA,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,press release EMCR2023,https://www.ine.es/dyngs/Prensa/es/EMCR2023.htm,high,Top-2 nationality of foreign immigrants 2023: Moroccan
32,flow_immigration_from_abroad,count,2023,88361,persons,all,all,VE,VE,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,press release EMCR2023,https://www.ine.es/dyngs/Prensa/es/EMCR2023.htm,high,Top-3 nationality of foreign immigrants 2023: Venezuelan
33,flow_immigration_from_abroad,count,2024,168122,persons,all,all,CO,CO,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,Top-1 nationality of foreign immigrants 2024: Colombian
34,flow_immigration_from_abroad,count,2024,133130,persons,all,all,MA,MA,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,Top-2 nationality of foreign immigrants 2024: Moroccan
35,flow_immigration_from_abroad,count,2024,103225,persons,all,all,VE,VE,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,Top-3 nationality of foreign immigrants 2024: Venezuelan
36,flow_immigration_from_abroad,count,2021,467162,persons,male,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2021,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2021 inflow
37,flow_immigration_from_abroad,count,2021,420798,persons,female,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2021,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2021 inflow
38,flow_immigration_from_abroad,count,2022,626804,persons,male,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2022,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split; women outnumber men in 2022
39,flow_immigration_from_abroad,count,2022,632090,persons,female,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2022,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2022 inflow
40,flow_immigration_from_abroad,count,2023,641997,persons,male,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2023 inflow
41,flow_immigration_from_abroad,count,2023,608994,persons,female,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2023 inflow
42,flow_immigration_from_abroad,count,2024,681606,persons,male,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2024 inflow
43,flow_immigration_from_abroad,count,2024,606956,persons,female,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69687,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69687,high,Sex split of total 2024 inflow
44,flow_emigration_to_abroad,count,2024,662294,persons,all,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,+8.8% vs 2023; for net-migration calc
45,flow_emigration_to_abroad,count,2024,524575,persons,all,all,foreign,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,79.2% of 2024 outflow
46,flow_emigration_to_abroad,count,2024,137719,persons,all,all,spanish,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,20.8% of 2024 outflow
47,net_migration_with_abroad,count,2024,626268,persons,all,all,all,all,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,press release EMCR2024,https://www.ine.es/dyngs/Prensa/EMCR2024.htm,high,-16028 vs 2023's +642296
48,stock_foreign_nationality,count,2000,923879,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2000,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,2.3% of total population
49,stock_foreign_nationality,count,2001,1370657,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2001,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
50,stock_foreign_nationality,count,2002,1977946,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2002,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
51,stock_foreign_nationality,count,2003,2664168,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2003,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
52,stock_foreign_nationality,count,2004,3034326,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2004,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
53,stock_foreign_nationality,count,2005,3730610,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2005,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Pre-Caldera regularisation
54,stock_foreign_nationality,count,2006,4144166,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2006,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Post-Caldera regularisation
55,stock_foreign_nationality,count,2007,4519554,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2007,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
56,stock_foreign_nationality,count,2008,5268762,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2008,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
57,stock_foreign_nationality,count,2009,5648671,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2009,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
58,stock_foreign_nationality,count,2010,5747734,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2010,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Pre-crisis peak
59,stock_foreign_nationality,count,2011,5751487,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2011,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,All-time stock peak in Padrón series
60,stock_foreign_nationality,count,2012,5736258,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2012,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Crisis-induced decline begins
61,stock_foreign_nationality,count,2013,5546238,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2013,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
62,stock_foreign_nationality,count,2014,5023487,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2014,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
63,stock_foreign_nationality,count,2015,4729644,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2015,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
64,stock_foreign_nationality,count,2016,4618581,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2016,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
65,stock_foreign_nationality,count,2017,4572807,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2017,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Post-crisis trough
66,stock_foreign_nationality,count,2018,4734691,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2018,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
67,stock_foreign_nationality,count,2019,5036878,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2019,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
68,stock_foreign_nationality,count,2020,5434153,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2020,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,
69,stock_foreign_nationality,count,2021,5440148,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2021,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Last Padrón year before ECP transition
70,stock_foreign_nationality,count,2022,5542932,persons,all,all,foreign,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2022,table 01001,https://www.ine.es/jaxi/files/_px/es/csv_bd/t20/e245/p08/l0/01001.csv_bd,high,Padrón CSV ends here
71,stock_foreign_nationality,count,2023,6089620,persons,all,all,foreign,all,national,INE_ECP,Estadística Continua de Población a 1 enero 2023,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,ECP definitivo; supersedes Padrón Continuo from 2021 onwards
72,stock_foreign_nationality,count,2024,6502282,persons,all,all,foreign,all,national,INE_ECP,Censo Anual de Población 2025 (revised),press release CensoVariables2025,https://www.ine.es/dyngs/Prensa/CensoVariables2025.htm,medium,ECP replaces Padrón Continuo; methodology break from 2021 onwards
73,stock_foreign_nationality,count,2025,6911971,persons,all,all,foreign,all,national,INE_ECP,Estadística Continua de Población a 1 enero 2025 (definitivo),table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,ECP definitivo; supersedes ECP4T24 provisional 6852348. 14.1% of 49128297 total
74,stock_foreign_nationality,count,2025,968999,persons,all,all,MA,MA,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,press release ECP4T24,https://www.ine.es/dyngs/Prensa/ECP4T24.htm,high,Top-1 foreign nationality stock at 1 Jan 2025: Moroccan
75,stock_foreign_nationality,count,2025,676534,persons,all,all,CO,CO,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,press release ECP4T24,https://www.ine.es/dyngs/Prensa/ECP4T24.htm,high,Top-2: Colombian
76,stock_foreign_nationality,count,2025,609270,persons,all,all,RO,RO,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,press release ECP4T24,https://www.ine.es/dyngs/Prensa/ECP4T24.htm,high,Top-3: Romanian
77,stock_foreign_born,count,2002,2334098,persons,all,all,all,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2002,Wikipedia ES citing INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,medium,5.7% of population; sourced via secondary citation of INE
78,stock_foreign_born,count,2005,4107226,persons,all,all,all,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2005,Wikipedia EN citing INE table 56937,https://en.wikipedia.org/wiki/Immigration_to_Spain,medium,Secondary citation
79,stock_foreign_born,count,2010,6280064,persons,all,all,all,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2010,Wikipedia ES citing INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,medium,13.5% of population; secondary citation
80,stock_foreign_born,count,2015,5883891,persons,all,all,all,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2015,Wikipedia EN citing INE,https://en.wikipedia.org/wiki/Immigration_to_Spain,medium,Secondary citation
81,stock_foreign_born,count,2020,7014753,persons,all,all,all,all,national,INE_Padron,Estadística del Padrón Continuo a 1 enero 2020,Wikipedia ES citing INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,medium,14.8% of population; secondary citation
82,stock_foreign_born,count,2025,9379972,persons,all,all,all,all,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,press release ECP4T24,https://www.ine.es/dyngs/Prensa/ECP4T24.htm,medium,19.1% of population; en.wikipedia gives alternative figure 9825266 from different INE table revision
83,ss_affiliation_foreign,count,2000,338287,persons,all,all,foreign,all,national,MISSM,Afiliación de extranjeros a la Seguridad Social (annual avg),Wikipedia citing MISSM/INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,low,Sectoral breakdown by Régimen NOT retrieved; total only
84,ss_affiliation_foreign,count,2004,1076744,persons,all,all,foreign,all,national,MISSM,Afiliación de extranjeros a la Seguridad Social,Wikipedia citing MISSM/INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,low,Total only
85,ss_affiliation_foreign,count,2005,1701634,persons,all,all,foreign,all,national,MISSM,Afiliación de extranjeros a la Seguridad Social (Sep 2005 post-regularisation),Wikipedia citing MISSM/INE,https://es.wikipedia.org/wiki/Inmigraci%C3%B3n_en_Espa%C3%B1a,low,Snapshot Sep 2005 post-Caldera regularisation; not strict annual avg
86,ss_affiliation_foreign,count,2024,2785473,persons,all,all,foreign,all,national,MISSM,Afiliación de extranjeros a la Seguridad Social (Mar 2024),La Moncloa nota de prensa 16/04/2024,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/inclusion/Paginas/2024/160416-afiliados-extranjeros-seguridad-social.aspx,low,Monthly snapshot Mar 2024; secondary press source. Annual avg & sectoral split NOT retrieved
87,ss_affiliation_foreign,count,2024,2849998,persons,all,all,foreign,all,national,MISSM,Afiliación de extranjeros a la Seguridad Social (Aug 2024),La Moncloa nota de prensa 16/09/2024,https://www.lamoncloa.gob.es/serviciosdeprensa/notasprensa/inclusion/Paginas/2024/160924-afiliados-extranjeros-seguridad-social.aspx,low,Aug 2024 snapshot; 13.7% of all SS affiliates
88,ss_affiliation_foreign,count,2024,241463,persons,all,all,foreign,all,national,MISSM,Sistema Especial Agrario — afiliados extranjeros Dec 2024,Valencia Fruits 2024-12 citing MISSM,https://valenciafruits.com/sube-afiliacion-extranjera-sistema-especial-agrario-525-2024/,low,Sector-specific: Agrario only; 47839 EU + 193624 non-EU
89,flow_immigration_from_abroad,count,2024,69567,persons,all,all,PE,PE,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 4 nationality of foreign immigrants 2024: Peruvian
90,flow_immigration_from_abroad,count,2024,45812,persons,all,all,IT,IT,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 5: Italian
91,flow_immigration_from_abroad,count,2024,38104,persons,all,all,RO,RO,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 6: Romanian
92,flow_immigration_from_abroad,count,2024,32539,persons,all,all,AR,AR,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 7: Argentinian
93,flow_immigration_from_abroad,count,2024,31482,persons,all,all,UA,UA,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 8: Ukrainian
94,flow_immigration_from_abroad,count,2024,29077,persons,all,all,HN,HN,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 9: Honduran
95,flow_immigration_from_abroad,count,2024,24704,persons,all,all,PY,PY,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2024,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 10: Paraguayan
96,flow_immigration_from_abroad,count,2023,66933,persons,all,all,PE,PE,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 4 nationality of foreign immigrants 2023: Peruvian
97,flow_immigration_from_abroad,count,2023,48089,persons,all,all,IT,IT,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 5: Italian
98,flow_immigration_from_abroad,count,2023,45663,persons,all,all,RO,RO,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 6: Romanian
99,flow_immigration_from_abroad,count,2023,35041,persons,all,all,AR,AR,national,INE_EMCR,Estadística de Migraciones y Cambios de Residencia 2023,table 69688,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/69688,high,Rank 7: Argentinian
100,stock_foreign_nationality,count,2025,377809,persons,all,all,VE,VE,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 4 foreign nationality stock 1 Jan 2025: Venezuelan
101,stock_foreign_nationality,count,2025,345777,persons,all,all,IT,IT,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 5: Italian
102,stock_foreign_nationality,count,2025,266462,persons,all,all,GB,GB,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 6: UK (post-Brexit non-EU)
103,stock_foreign_nationality,count,2025,260544,persons,all,all,PE,PE,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 7: Peruvian
104,stock_foreign_nationality,count,2025,238372,persons,all,all,CN,CN,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 8: Chinese
105,stock_foreign_nationality,count,2025,202105,persons,all,all,UA,UA,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 9: Ukrainian
106,stock_foreign_nationality,count,2025,177929,persons,all,all,HN,HN,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Rank 10: Honduran
107,stock_foreign_nationality,count,2025,3488832,persons,male,all,foreign,all,national,INE_ECP,Estadística Continua de Población a 1 enero 2025,table 56936,https://servicios.ine.es/wstempus/js/ES/DATOS_TABLA/56936,high,Sex split foreigners 1 Jan 2025: hombres
