"row_id","report","report_year","data_year_start","data_year_end","crime_type","actor_role","nationality_group","iso2","count","pct","denominator","denominator_value","unit","source_table","confidence","notes"
"12","MIR_ViolenceWomen_2015-2019","2020","2015","2015","violencia_fisica","victim","all","ALL","48515","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"13","MIR_ViolenceWomen_2015-2019","2020","2016","2016","violencia_fisica","victim","all","ALL","43583","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"14","MIR_ViolenceWomen_2015-2019","2020","2017","2017","violencia_fisica","victim","all","ALL","45659","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"15","MIR_ViolenceWomen_2015-2019","2020","2018","2018","violencia_fisica","victim","all","ALL","46212","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"16","MIR_ViolenceWomen_2015-2019","2020","2019","2019","violencia_fisica","victim","all","ALL","49608","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"17","MIR_ViolenceWomen_2015-2019","2020","2015","2015","violencia_psiquica","victim","all","ALL","59706","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"18","MIR_ViolenceWomen_2015-2019","2020","2016","2016","violencia_psiquica","victim","all","ALL","56874","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"19","MIR_ViolenceWomen_2015-2019","2020","2017","2017","violencia_psiquica","victim","all","ALL","59823","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"20","MIR_ViolenceWomen_2015-2019","2020","2018","2018","violencia_psiquica","victim","all","ALL","62303","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"21","MIR_ViolenceWomen_2015-2019","2020","2019","2019","violencia_psiquica","victim","all","ALL","66565","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"22","MIR_ViolenceWomen_2015-2019","2020","2015","2015","violencia_sexual","victim","all","ALL","6692","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"23","MIR_ViolenceWomen_2015-2019","2020","2016","2016","violencia_sexual","victim","all","ALL","7506","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"24","MIR_ViolenceWomen_2015-2019","2020","2017","2017","violencia_sexual","victim","all","ALL","8239","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"25","MIR_ViolenceWomen_2015-2019","2020","2018","2018","violencia_sexual","victim","all","ALL","10371","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"26","MIR_ViolenceWomen_2015-2019","2020","2019","2019","violencia_sexual","victim","all","ALL","11525","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"27","MIR_ViolenceWomen_2015-2019","2020","2015","2015","violencia_economica","victim","all","ALL","4123","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"28","MIR_ViolenceWomen_2015-2019","2020","2016","2016","violencia_economica","victim","all","ALL","3420","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"29","MIR_ViolenceWomen_2015-2019","2020","2017","2017","violencia_economica","victim","all","ALL","3531","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"30","MIR_ViolenceWomen_2015-2019","2020","2018","2018","violencia_economica","victim","all","ALL","3268","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"31","MIR_ViolenceWomen_2015-2019","2020","2019","2019","violencia_economica","victim","all","ALL","3893","","annual_victimizations","","count_victims","distribucion_anual_tipo_violencia","high","Annual registered victimizations by violence type. Table verified against pdftotext of MIR_ViolenceWomen_2015-2019.pdf."
"32","MIR_ViolenceWomen_2015-2019","2020","2015","2019","violencia_sexual","victim","spanish","ES","33556","75.7","total_sexual_violence_victimizations_2015_2019","44333","count_victims","victimizaciones_por_tipo_y_nacionalidad","high","5-year aggregate 2015-2019. Total sexual violence 2015-2019=44,333. Includes: abuso sexual, agresión sexual. Excludes: domestic violence categories."
"33","MIR_ViolenceWomen_2015-2019","2020","2015","2019","violencia_sexual","victim","foreign","ALL_FOREIGN","10777","24.3","total_sexual_violence_victimizations_2015_2019","44333","count_victims","victimizaciones_por_tipo_y_nacionalidad","high","5-year aggregate 2015-2019. Total sexual violence 2015-2019=44,333. Includes: abuso sexual, agresión sexual. Excludes: domestic violence categories."
"34","MIR_ViolenceWomen_2015-2019","2020","2015","2019","violencia_contra_mujer_all","victim","top_foreign_origin_narrative","RO;MA","","","foreign_victims_all_violence","149027","narrative","distribucion_global_nacionalidad","medium","Report states: among foreign victims, highest counts from Romania and Morocco. Exact per-country counts not in text-extractable table (embedded chart)."
"35","MIR_Informe_DelitosSexuales_2023","2024","2023","2023","sexual_crimes_total","all","all","ALL","21825","","total_sexual_crimes_registered","21825","count","informe_delitos_libertad_sexual_2023","high","Total delitos contra la libertad sexual 2023. +14.5% vs 2022 (19059)."
"36","MIR_Informe_DelitosSexuales_2023","2024","2023","2023","sexual_crimes_perpetrator_nationality","perpetrator","spanish","ES","","62.7","detenciones_investigaciones_total","13767","percent","informe_delitos_libertad_sexual_2023","medium","2023: 62.7% of 13,767 detained are Spanish. Note: % of detained≠% of all crimes."
"37","MIR_Informe_DelitosSexuales_2023","2024","2023","2023","sexual_crimes_perpetrator_nationality","perpetrator","foreign","ALL_FOREIGN","","37.3","detenciones_investigaciones_total","13767","percent","informe_delitos_libertad_sexual_2023","medium","2023: 37.3% foreign perpetrators. POLITICALLY SENSITIVE; verify from primary PDF."
"38","MIR_Informe_DelitosSexuales_2023","2024","2023","2023","sexual_crimes_victim_nationality","victim","spanish","ES","15928","73.8","total_victims_identified","21580","count","informe_delitos_libertad_sexual_2023","medium","2023: Spanish victims = 73.8% of 21580 total identified victims."
"39","MIR_Informe_DelitosSexuales_2023","2024","2023","2023","sexual_crimes_victim_nationality","victim","foreign","ALL_FOREIGN","","26.2","total_victims_identified","21580","percent","informe_delitos_libertad_sexual_2023","low","2023: foreign victims = estimated 26.2% (100-73.8%). Exact count not confirmed."
"40","MIR_Informe_DelitosSexuales_2024","2025","2024","2024","sexual_crimes_total","all","all","ALL","22846","","total_sexual_crimes_registered","22846","count","informe_delitos_libertad_sexual_2024","high","Total delitos contra la libertad sexual 2024. +4.68% vs 2023 (21825). +66% vs 6 years prior."
"41","MIR_Informe_DelitosSexuales_2024","2025","2024","2024","sexual_crimes_detenciones_total","perpetrator","all","ALL","14375","","total_detained_investigated","14375","count","informe_delitos_libertad_sexual_2024","high","2024: 14,375 detained/investigated. 93.13% male. Nationality breakdown NOT yet extracted from primary PDF."
"42","MIR_Informe_DelitosSexuales_2024","2025","2024","2024","sexual_crimes_victim_all","victim","all","ALL","22778","","total_victims","22778","count","informe_delitos_libertad_sexual_2024","high","2024: 22,778 total victims (19,518 female=85.69%). 41.2% under 18."
