year,origin,role,count,population,rate_per_100k,confidence,notes
2012,españa,victim,37,21653655,0.17,medium,"españa 2012 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2012,otro_pais,victim,14,2046718,0.68,medium,"otro_pais 2012 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2012,españa,perpetrator,36,20838999,0.17,medium,"españa 2012 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2012,otro_pais,perpetrator,15,2209931,0.68,medium,"otro_pais 2012 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2013,españa,victim,38,21653316,0.18,medium,"españa 2013 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2013,otro_pais,victim,16,1995560,0.8,medium,"otro_pais 2013 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2013,españa,perpetrator,37,20813389,0.18,medium,"españa 2013 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2013,otro_pais,perpetrator,17,2118859,0.8,medium,"otro_pais 2013 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2014,españa,victim,38,21762634,0.17,medium,"españa 2014 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2014,otro_pais,victim,19,1834839,1.04,medium,"otro_pais 2014 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2014,españa,perpetrator,38,20898712,0.18,medium,"españa 2014 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2014,otro_pais,perpetrator,19,1936865,0.98,medium,"otro_pais 2014 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2015,españa,victim,37,21848384,0.17,medium,"españa 2015 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2015,otro_pais,victim,22,1738561,1.27,medium,"otro_pais 2015 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2015,españa,perpetrator,43,20966753,0.21,medium,"españa 2015 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2015,otro_pais,perpetrator,16,1830681,0.87,medium,"otro_pais 2015 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2016,españa,victim,27,21889800,0.12,medium,"españa 2016 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2016,otro_pais,victim,22,1732648,1.27,medium,"otro_pais 2016 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2016,españa,perpetrator,32,20994574,0.15,medium,"españa 2016 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2016,otro_pais,perpetrator,17,1810078,0.94,medium,"otro_pais 2016 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2017,españa,victim,32,21938994,0.15,medium,"españa 2017 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2017,otro_pais,victim,17,1739773,0.98,medium,"otro_pais 2017 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2017,españa,perpetrator,33,21025672,0.16,medium,"españa 2017 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2017,otro_pais,perpetrator,16,1806022,0.89,medium,"otro_pais 2017 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2018,españa,victim,33,21966096,0.15,medium,"españa 2018 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2018,otro_pais,victim,19,1828632,1.04,medium,"otro_pais 2018 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2018,españa,perpetrator,32,21049617,0.15,medium,"españa 2018 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2018,otro_pais,perpetrator,20,1871038,1.07,medium,"otro_pais 2018 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2019,españa,victim,33,22025293,0.15,medium,"españa 2019 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2019,otro_pais,victim,23,1961659,1.17,medium,"otro_pais 2019 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2019,españa,perpetrator,33,21103868,0.16,medium,"españa 2019 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2019,otro_pais,perpetrator,23,1996958,1.15,medium,"otro_pais 2019 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2020,españa,victim,32,21975739,0.15,medium,"españa 2020 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2020,otro_pais,victim,18,2146095,0.84,medium,"otro_pais 2020 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2020,españa,perpetrator,36,21040241,0.17,medium,"españa 2020 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2020,otro_pais,perpetrator,14,2182777,0.64,medium,"otro_pais 2020 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2021,españa,victim,27,21903240,0.12,medium,"españa 2021 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2021,otro_pais,victim,22,2220206,0.99,medium,"otro_pais 2021 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2021,españa,perpetrator,38,20958152,0.18,medium,"españa 2021 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2021,otro_pais,perpetrator,11,2265238,0.49,medium,"otro_pais 2021 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2022,españa,victim,34,22085166,0.15,medium,"españa 2022 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2022,otro_pais,victim,16,2274263,0.7,medium,"otro_pais 2022 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2022,españa,perpetrator,31,21097180,0.15,medium,"españa 2022 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2022,otro_pais,perpetrator,19,2324745,0.82,medium,"otro_pais 2022 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2023,españa,victim,32,22068105,0.15,medium,"españa 2023 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2023,otro_pais,victim,26,2570484,1.01,medium,"otro_pais 2023 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2023,españa,perpetrator,32,21095397,0.15,medium,"españa 2023 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2023,otro_pais,perpetrator,26,2586534,1.01,medium,"otro_pais 2023 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2024,españa,victim,25,22116538,0.11,medium,"españa 2024 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2024,otro_pais,victim,24,2765086,0.87,medium,"otro_pais 2024 victim — counts: Delegación del Gobierno (high confidence); population: INE Padrón total female minus Eurostat migr_pop1ctz foreign-resident female stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2024,españa,perpetrator,31,21149074,0.15,medium,"españa 2024 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
2024,otro_pais,perpetrator,17,2791238,0.61,medium,"otro_pais 2024 perpetrator — counts: Delegación del Gobierno (high confidence); population: INE Padrón total male minus Eurostat migr_pop1ctz foreign-resident male stock (stock_nationality series, per-year per-nationality, ~86% of INE ECP total foreign stock)"
